Nombre,Edad,Departamento,Salario
Juan Perez,35,Ventas,35420
Maria Gonzalez,22,TI,48250
Carlos lopez,36,Recursos Humanos,38760
Juana Martinez,24,Finanzas,52340
Luis Rodriguez,33,Marketing,40000
Sofia Hernandez,30,Produccion ,32500
Pedro S‡nchez,45,Logistica,20000
Laura Diaz,25,Ventas,60000
Saul Cardenaz,41,TI,25000
Pedro Paramo,36,Recursos Humanos,35260
Juan rulfo,38,Finanzas,25630
Pepe Lopez,25,Ventas,25450
Ignacio Ambriz,20,TI,36520
Raul Hernandez,34,Recursos Humanos,45260
Arturo Cruz,45,Finanzas,58254
Andres Garcia,35,Marketing,36589
Guillermo Esparza,44,Recursos Humanos,20000
Miguel Galvan,55,Marketing,36245
Daniel Flores,28,Ventas,25632
Kevin Estrada,29,Produccion ,21456
Ximena Sari–ana,26,Produccion ,36985
Omar Lopez,36,Ventas,20568
Samuel Garcia,34,Finanzas,39854
Guadalupe Reyez,45,Marketing,48623
Cristian Avila,42,Logistica,36250
Maribel Cruz,41,TI,32589
Rebeca Garcia,27,Logistica,40000
Hugo Ceron,38,TI,36250
Gabriela Espinosa,29,Ventas,25362
Gabriel Gacria,20,Ventas,36589
